flight.identification.id,flight.identification.row,flight.identification.number.default,flight.identification.number.alternative,flight.identification.callsign,flight.identification.codeshare,flight.status.live,flight.status.text,flight.status.icon,flight.status.estimated,flight.status.ambiguous,flight.status.generic.status.text,flight.status.generic.status.type,flight.status.generic.status.color,flight.status.generic.status.diverted,flight.status.generic.eventTime.utc,flight.status.generic.eventTime.local,flight.aircraft.model.code,flight.aircraft.model.text,flight.aircraft.registration,flight.aircraft.country.id,flight.aircraft.country.name,flight.aircraft.country.alpha2,flight.aircraft.country.alpha3,flight.aircraft.hex,flight.aircraft.restricted,flight.aircraft.serialNo,flight.aircraft.age.availability,flight.aircraft.availability.serialNo,flight.aircraft.availability.age,flight.owner.name,flight.owner.code.iata,flight.owner.code.icao,flight.owner.logo,flight.airline.name,flight.airline.code.iata,flight.airline.code.icao,flight.airline.short,flight.airport.origin.code.iata,flight.airport.origin.code.icao,flight.airport.origin.timezone.name,flight.airport.origin.timezone.offset,flight.airport.origin.timezone.abbr,flight.airport.origin.timezone.abbrName,flight.airport.origin.timezone.isDst,flight.airport.origin.info.terminal,flight.airport.origin.info.baggage,flight.airport.origin.info.gate,flight.airport.origin.name,flight.airport.origin.position.latitude,flight.airport.origin.position.longitude,flight.airport.origin.position.country.name,flight.airport.origin.position.country.code,flight.airport.origin.position.country.id,flight.airport.origin.position.region.city,flight.airport.origin.visible,flight.airport.destination.timezone.name,flight.airport.destination.timezone.offset,flight.airport.destination.timezone.abbr,flight.airport.destination.timezone.abbrName,flight.airport.destination.timezone.isDst,flight.airport.destination.info.terminal,flight.airport.destination.info.baggage,flight.airport.destination.info.gate,flight.airport.real,flight.time.scheduled.departure,flight.time.scheduled.arrival,flight.time.real.departure,flight.time.real.arrival,flight.time.estimated.departure,flight.time.estimated.arrival,flight.time.other.eta,flight.time.other.duration,flight.aircraft.images,flight.owner,flight.airline,final_time
33206f6d,5444102830,LO779,,LOT7HF,['TP7109'],True,Scheduled,,,False,scheduled,arrival,gray,,,,E190,Embraer E190STD,SP-LMB,176.0,Poland,PL,POL,48AD81,False,,True,True,True,LOT,LO,LOT,s3:LO_LOT.png,LOT,LO,LOT,LOT,WAW,EPWA,Europe/Warsaw,3600,CET,Central European Time,False,,,241,Warsaw Chopin Airport,52.165749,20.967119,Poland,PL,176,Warsaw,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1701954600,1701958500,,,1701955800.0,,,,,,,2023-12-07 16:15:00
33200518,5447917692,H5387,,VJH387,,True,Estimated 16:01,green,,False,estimated,arrival,green,,1701957695.0,1701964895.0,C56X,Cessna 560XL Citation XLS+,D-CANG,83.0,Germany,DE,DEU,3CC158,False,,True,True,True,VistaJet,H5,VJH,s3:H5_VJH.png,VistaJet,,VJT,VistaJet,LTN,EGGW,Europe/London,0,GMT,Greenwich Mean Time,False,,,,London Luton Airport,51.874722,-0.36833,United Kingdom,GB,235,London,True,Europe/Vilnius,7200,EET,Eastern European Time,False,,,,,1701949500,1701958980,1701949361.0,,,1701957695.0,1701957695.0,,,,,2023-12-07 16:01:35
331fd646,5444205681,X98702,4X8702,NVD8702,,True,Estimated 16:32,green,,False,estimated,arrival,green,,1701959552.0,1701966752.0,A320,Airbus A320-232,9H-SWI,136.0,Malta,MT,MLT,4D24D3,False,,True,True,True,Avion Express Malta,4X,MLH,s3:4X_MLH.png,Avion Express,X9,NVD,Avion Express,HRG,HEGN,Africa/Cairo,7200,EET,Eastern European Time,False,1,,,Hurghada International Airport,27.17831,33.799431,Egypt,EG,66,Hurghada,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1701942300,1701960300,1701943586.0,,,1701959552.0,1701959552.0,,,,,2023-12-07 16:32:32
3320347e,5444054317,FR543,RR543,RYR3NJ,,True,Estimated 16:56,green,,False,estimated,arrival,green,,1701960960.0,1701968160.0,B738,Boeing 737-8AS,SP-RSL,176.0,Poland,PL,POL,48C22B,False,,True,True,True,Buzz,RR,RYS,s3:RR_RYS.png,Ryanair,FR,RYR,Ryanair,STN,EGSS,Europe/London,0,GMT,Greenwich Mean Time,False,1,,86,London Stansted Airport,51.884998,0.235,United Kingdom,GB,235,London,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,86,,1701952500,1701962100,1701953071.0,,,1701960960.0,1701960960.0,,,,,2023-12-07 16:56:00
,5444148998,SK740,EE740,SAS740,,False,Scheduled,,,False,scheduled,arrival,gray,,,,CRJ9,Mitsubishi CRJ-900LR,ES-ACJ,70.0,Estonia,EE,EST,5110E1,False,,True,True,True,Xfly,EE,EST,s3:EE_EST.png,SAS,SK,SAS,SAS,ARN,ESSA,Europe/Stockholm,3600,CET,Central European Time,False,5,,E1,Stockholm Arlanda Airport,59.653545,17.939816,Sweden,SE,215,Stockholm,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1701957600,1701962700,,,1701957600.0,,,,,,,2023-12-07 17:25:00
,5443997396,AY1105,N71105,FIN1RE,"['AA8980', 'BA6063', 'IB371', 'JL6873', 'QR6151', 'TK8788']",False,Scheduled,,,False,scheduled,arrival,gray,,,,AT75,ATR 72-500,OH-ATE,75.0,Finland,FI,FIN,4601F2,False,,True,True,True,NORRA,N7,FCM,s3:FC_FCM.png,Finnair,AY,FIN,Finnair,HEL,EFHK,Europe/Helsinki,7200,EET,Eastern European Time,False,2,,31C,Helsinki Vantaa Airport,60.325657,24.968779,Finland,FI,75,Helsinki,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1701959700,1701965700,,,1701960120.0,,,,,,,2023-12-07 18:15:00
,5444008037,BT922,,BTI9GR,"['A33242', 'TP6447']",False,Scheduled,,,False,scheduled,arrival,gray,,,,BCS3,Airbus A220-300,YL-AAR,121.0,Latvia,LV,LVA,502D0E,False,,True,True,True,Air Baltic,BT,BTI,s3:BT_BTI.png,Air Baltic,BT,BTI,Air Baltic,BER,EDDB,Europe/Berlin,3600,CET,Central European Time,False,1,,B07,Berlin Brandenburg Airport,52.362877,13.503722,Germany,DE,83,Berlin,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1701960300,1701965700,,,1701960300.0,,,,,,,2023-12-07 18:15:00
,5444102816,LO775,,LOT7MW,['LY9733'],False,Scheduled,,,False,scheduled,arrival,gray,,,,E190,Embraer E190STD,SP-LMD,176.0,Poland,PL,POL,48AD83,False,,True,True,True,LOT,LO,LOT,s3:LO_LOT.png,LOT,LO,LOT,LOT,WAW,EPWA,Europe/Warsaw,3600,CET,Central European Time,False,,,,Warsaw Chopin Airport,52.165749,20.967119,Poland,PL,176,Warsaw,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1701962700,1701966600,,,1701963900.0,,,,,,,2023-12-07 18:30:00
33203004,5447544285,,,GJT48P,,True,Estimated 18:26,green,,False,estimated,arrival,green,,1701966415.0,1701973615.0,B738,Boeing 737-83N,LY-CIN,127.0,Lithuania,LT,LTU,503E99,False,,True,True,True,Getjet Airlines,GW,GJT,s3:GW_GJT.png,GetJet Airlines,GW,GJT,Getjet Airlines,HRG,HEGN,Africa/Cairo,7200,EET,Eastern European Time,False,,,,Hurghada International Airport,27.17831,33.799431,Egypt,EG,66,Hurghada,True,Europe/Vilnius,7200,EET,Eastern European Time,False,,,,,1701950400,1701967140,1701952173.0,,,1701966415.0,1701966415.0,,,,,2023-12-07 18:26:55
,5444056070,FR8366,MAY8366,RYR72HW,,False,Scheduled,,,False,scheduled,arrival,gray,,,,B738,Boeing 737-8AS,9H-QBS,136.0,Malta,MT,MLT,4D2215,False,,True,True,True,Malta Air,,MAY,s3:AL_MAY.png,Ryanair,FR,RYR,Ryanair,TRN,LIMF,Europe/Rome,3600,CET,Central European Time,False,,,A,Turin Caselle Airport,45.20076,7.649631,Italy,IT,109,Turin,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,7,,1701958500,1701968100,,,1701958500.0,,,,,,,2023-12-07 18:55:00
,5444157911,TK1409,,THY3RW,,False,Scheduled,,,False,scheduled,arrival,gray,,,,A321,Airbus A321-231,TC-JTN,228.0,Turkey,TR,TUR,4BAA8E,False,,True,True,True,Turkish Airlines,TK,THY,s3:TK_THY.png,Turkish Airlines,TK,THY,Turkish Airlines,IST,LTFM,Europe/Istanbul,10800,+03,,False,,,D1,Istanbul Airport,41.267052,28.729757,Turkey,TR,228,Istanbul,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1701957900,1701968700,,,1701957900.0,,,,,,,2023-12-07 19:05:00
,5444286958,BT906,,BTI6EY,,False,Scheduled,,,False,scheduled,arrival,gray,,,,BCS3,Airbus A220-300,YL-AAO,121.0,Latvia,LV,LVA,502D0B,False,,True,True,True,Air Baltic,BT,BTI,s3:BT_BTI.png,Air Baltic,BT,BTI,Air Baltic,TLL,EETN,Europe/Tallinn,7200,EET,Eastern European Time,False,,,,Tallinn Lennart Meri Airport ,59.413311,24.83284,Estonia,EE,70,Tallinn,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1701966000,1701970200,,,1701966360.0,,,,,,,2023-12-07 19:30:00
,5444007932,BT347,,BTI9JT,"['A33222', 'AZ4091', 'EK3505']",False,Scheduled,,,False,scheduled,arrival,gray,,,,BCS3,Airbus A220-300,YL-ABM,121.0,Latvia,LV,LVA,502D5E,False,,True,True,True,Air Baltic,BT,BTI,s3:BT_BTI.png,Air Baltic,BT,BTI,Air Baltic,RIX,EVRA,Europe/Riga,7200,EET,Eastern European Time,False,,,,Riga International Airport,56.923611,23.971109,Latvia,LV,121,Riga,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1701971400,1701974400,,,1701971880.0,,,,,,,2023-12-07 20:40:00
,5443997408,AY1107,N71107,FIN8RD,['QR6142'],False,Scheduled,,,False,scheduled,arrival,gray,,,,AT75,ATR 72-500,OH-ATO,75.0,Finland,FI,FIN,4601FC,False,,True,True,True,NORRA,N7,FCM,s3:FC_FCM.png,Finnair,AY,FIN,Finnair,HEL,EFHK,Europe/Helsinki,7200,EET,Eastern European Time,False,2,,211,Helsinki Vantaa Airport,60.325657,24.968779,Finland,FI,75,Helsinki,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1701969000,1701975000,,,1701969600.0,,,,,,,2023-12-07 20:50:00
,5444149504,SK1740,EE1740,SAS1740,,False,Scheduled,,,False,scheduled,arrival,gray,,,,CRJ9,Mitsubishi CRJ-900LR,ES-ACJ,70.0,Estonia,EE,EST,5110E1,False,,True,True,True,Xfly,EE,EST,s3:EE_EST.png,SAS,SK,SAS,SAS,ARN,ESSA,Europe/Stockholm,3600,CET,Central European Time,False,5,,F34,Stockholm Arlanda Airport,59.653545,17.939816,Sweden,SE,215,Stockholm,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1701972300,1701977400,,,1701972300.0,,,,,,,2023-12-07 21:30:00
,5444286949,BT926,,BTI7RB,"['A33238', 'KM2230', 'LH4450']",False,Scheduled,,,False,scheduled,arrival,gray,,,,BCS3,Airbus A220-300,YL-AAX,121.0,Latvia,LV,LVA,502D28,False,,True,True,True,Air Baltic,BT,BTI,s3:BT_BTI.png,Air Baltic,BT,BTI,Air Baltic,MUC,EDDM,Europe/Berlin,3600,CET,Central European Time,False,2,,K7,Munich Airport,48.353779,11.78608,Germany,DE,83,Munich,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1701972000,1701979200,,,1701972600.0,,,,,,,2023-12-07 22:00:00
,5444199793,W68022,,WZZ4CS,,False,Scheduled,,,False,scheduled,arrival,gray,,,,A320,Airbus A320-232,HA-LYF,100.0,Hungary,HU,HUN,471F81,False,,True,True,True,Wizz Air,W6,WZZ,s3:W6_WZZ.png,Wizz Air,W6,WZZ,Wizz Air,BVA,LFOB,Europe/Paris,3600,CET,Central European Time,False,T2,,,Paris Beauvais-Tille Airport,49.454189,2.11355,France,FR,76,Paris,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1701971100,1701980700,,,1701971760.0,,,,,,,2023-12-07 22:25:00
,5446923138,TK6307,,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,33X,,,,,,,,,,,,,,,,,Turkish Airlines,TK,THY,Turkish Airlines,OTP,LROP,Europe/Bucharest,7200,EET,Eastern European Time,False,,,,Bucharest Henri Coanda International Airport,44.572159,26.102171,Romania,RO,181,Bucharest,True,Europe/Vilnius,7200,EET,Eastern European Time,False,,,,,1701972900,1701981600,,,,,,,,,,2023-12-07 22:40:00
,5444199799,W68084,W48084,WZZ5GF,,False,Scheduled,,,False,scheduled,arrival,gray,,,,A320,Airbus A320-232,9H-WZU,136.0,Malta,MT,MLT,4D24C3,False,,True,True,True,Wizz Air Malta,W4,WMT,s3:_WMT.png,Wizz Air,W6,WZZ,Wizz Air,AGP,LEMG,Europe/Madrid,3600,CET,Central European Time,False,,,332,Malaga Costa Del Sol Airport,36.679596,-4.496117,Spain,ES,209,Malaga,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1701967800,1701983700,,,1701967800.0,,,,,,,2023-12-07 23:15:00
,5444325242,LO274,,LOT274,,False,Scheduled,,,False,scheduled,arrival,gray,,,,E190,Embraer E190STD,SP-LMB,176.0,Poland,PL,POL,48AD81,False,,True,True,True,LOT,LO,LOT,s3:LO_LOT.png,LOT,LO,LOT,LOT,LCY,EGLC,Europe/London,0,GMT,Greenwich Mean Time,False,,,,London City Airport,51.505268,0.055278,United Kingdom,GB,235,London,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1701973800,1701983700,,,1701974700.0,,,,,,,2023-12-07 23:15:00
,5444343539,SK742,EE742,SAS742,"['FI7520', 'LG1847']",False,Scheduled,,,False,scheduled,arrival,gray,,,,CRJ9,Mitsubishi CRJ-900LR,ES-ACP,70.0,Estonia,EE,EST,511111,False,,True,True,True,Xfly,EE,EST,s3:EE_EST.png,Xfly,EE,EST,Xfly,CPH,EKCH,Europe/Copenhagen,3600,CET,Central European Time,False,3,,B4,Copenhagen Airport,55.616959,12.645637,Denmark,DK,61,Copenhagen,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1701979500,1701984900,,,1701979500.0,,,,,,,2023-12-07 23:35:00
,5444323970,LH888,,DLH888,"['A31466', 'NH6121', 'SN7085', 'EY4166']",False,Scheduled,,,False,scheduled,arrival,gray,,,,A321,Airbus A321-131,D-AIRU,83.0,Germany,DE,DEU,3C6655,False,,True,True,True,Lufthansa,LH,DLH,s3:LH_DLH.png,Lufthansa,LH,DLH,Lufthansa,FRA,EDDF,Europe/Berlin,3600,CET,Central European Time,False,1,,A66,Frankfurt Airport,50.037796,8.555783,Germany,DE,83,Frankfurt,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1701978000,1701985500,,,1701978900.0,,,,,,,2023-12-07 23:45:00
,5444054709,FR1786,RR1786,RYR76UQ,,False,Scheduled,,,False,scheduled,arrival,gray,,,,B738,Boeing 737-8AS,SP-RKC,176.0,Poland,PL,POL,48C122,False,,True,True,True,Buzz,RR,RYS,s3:RR_RYS.png,Ryanair,FR,RYR,Ryanair,BCN,LEBL,Europe/Madrid,3600,CET,Central European Time,False,2,,B66,Barcelona El Prat Airport,41.29707,2.078463,Spain,ES,209,Barcelona,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1701973500,1701986100,,,1701974400.0,,,,,,,2023-12-07 23:55:00
