flight.status.generic.status.type,flight.identification.number.default,flight.identification.callsign,flight.aircraft.model.text,flight.aircraft.country.name,flight.airline.short,flight.airport.origin.position.region.city,final_time,flight.airport.destination.position.region.city
departure,,LYTIT,Diamond DA40NG,Lithuania,,,2023-11-10 14:30:00,Vilnius
arrival,BT345,BTI34V,Airbus A220-300,Latvia,Air Baltic,Riga,2023-11-10 14:32:19,
arrival,W68064,WZZ4FX,Airbus A320-232,Malta,Wizz Air,Barcelona,2023-11-10 14:35:00,
departure,FR3467,RYR61WD,Boeing 737-8AS,Ireland,Ryanair,,2023-11-10 14:35:00,London
arrival,W68044,WZZ6117,Airbus A320-232,Malta,Wizz Air,Larnaca,2023-11-10 14:50:00,
arrival,SK1742,SAS34J,Mitsubishi CRJ-900LR,Estonia,SAS,Copenhagen,2023-11-10 14:54:24,
departure,LO772,LOT7YC,Embraer E190AR,Poland,LOT,,2023-11-10 14:55:00,Warsaw
arrival,,LYAXO,Diamond DA40NG,Lithuania,,Vilnius,2023-11-10 14:59:26,
departure,BT346,BTI34P,Airbus A220-300,Latvia,Air Baltic,,2023-11-10 15:20:00,Riga
departure,LH887,DLH887,Airbus A321-131,Germany,Lufthansa,,2023-11-10 15:20:00,Frankfurt
departure,BT965,BTI3FL,Airbus A220-300,Latvia,Air Baltic,,2023-11-10 15:30:00,Paris
departure,W68045,WZZ6PH,Airbus A320-232,Malta,Wizz Air,,2023-11-10 15:35:00,Kutaisi
departure,SK1743,SAS33A,Mitsubishi CRJ-900LR,Estonia,SAS,,2023-11-10 15:45:00,Copenhagen
arrival,LO779,LOT7HF,Embraer E190STD,Poland,LOT,Warsaw,2023-11-10 16:15:00,
arrival,,LYTIT,Diamond DA40NG,Lithuania,,Vilnius,2023-11-10 16:18:00,
arrival,FR1502,RYR771Q,Boeing 737-8AS,Poland,Ryanair,Oslo,2023-11-10 16:30:00,
arrival,LYF278,LYF278,Casa C-295,Kazakhstan,Lithuania - Air Force,Berlin,2023-11-10 16:57:00,
departure,LO273,LOT2AG,Embraer E190STD,Poland,LOT,,2023-11-10 17:10:00,London
arrival,FR2872,RYR79FD,Boeing 737 MAX 8-200,Malta,Malta Air,Milan,2023-11-10 17:20:00,
arrival,SK740,SAS740,Mitsubishi CRJ-900ER,Estonia,SAS,Stockholm,2023-11-10 17:25:00,
departure,FR542,RYR50UG,Boeing 737-8AS,Poland,Ryanair,,2023-11-10 17:25:00,London
arrival,,JSG359,Cessna 650 Citation VI,Hungary,JetStream,Nice,2023-11-10 17:28:00,
arrival,FR6872,RYR70JZ,Boeing 737-8AS,Malta,Ryanair,Rome,2023-11-10 17:35:00,
departure,FR2871,RYR69MX,Boeing 737 MAX 8-200,Malta,Malta Air,,2023-11-10 17:55:00,Milan
departure,SK739,SAS739,Mitsubishi CRJ-900ER,Estonia,SAS,,2023-11-10 18:00:00,Stockholm
departure,FR6873,RYR76YZ,Boeing 737-8AS,Malta,Ryanair,,2023-11-10 18:10:00,Rome
arrival,AY1105,FIN1RE,ATR 72-500,Finland,Finnair,Helsinki,2023-11-10 18:15:00,
arrival,FR4479,RYR52VR,Boeing 737-8AS,Poland,Ryanair,Nuremberg,2023-11-10 18:25:00,
arrival,LO775,LOT7MW,Embraer E195LR,Poland,LOT,Warsaw,2023-11-10 18:30:00,
