flight.status.generic.status.type,flight.identification.number.default,flight.identification.callsign,flight.aircraft.model.text,flight.aircraft.country.name,flight.airline.short,flight.airport.origin.position.region.city,final_time,flight.airport.destination.position.region.city
arrival,,OKPHA,Embraer Phenom 300,Czechia,,Athens,2023-11-06 17:50:24,
departure,SK739,SAS739,Mitsubishi CRJ-900LR,Estonia,SAS,,2023-11-06 18:00:00,Stockholm
arrival,FR1502,RYR771Q,Boeing 737-8AS,Poland,Ryanair,Oslo,2023-11-06 18:08:32,
arrival,AY1105,FIN1RE,ATR 72-500,Finland,Finnair,Helsinki,2023-11-06 18:10:40,
arrival,W68026,WZZ1272,Airbus A320-232,Malta,Wizz Air,Eindhoven,2023-11-06 18:23:28,
arrival,LO775,LOT7MW,Embraer E195LR,Poland,LOT,Warsaw,2023-11-06 18:30:00,
departure,AY1106,FIN5MB,ATR 72-500,Finland,Finnair,,2023-11-06 18:50:00,Helsinki
arrival,FR1830,RYR5LZ,Boeing 737-8AS,Poland,Ryanair,Venice,2023-11-06 18:53:20,
departure,FR7655,RYR6HA,Boeing 737-8AS,Poland,Ryanair,,2023-11-06 18:55:00,Eindhoven
departure,FR1835,RYR2UX,Boeing 737-8AS,Poland,Ryanair,,2023-11-06 19:20:00,Bremen
departure,LO776,LOT776,Embraer E195LR,Poland,LOT,,2023-11-06 19:20:00,Warsaw
departure,W68051,WZZ2993,Airbus A320-232,Malta,Wizz Air,,2023-11-06 19:40:00,Milan
arrival,X98012,NVD8012,Airbus A320-232,Malta,Avion Express,Funchal,2023-11-06 20:01:36,
arrival,TK1409,THY3RW,Boeing 737-9F2(ER),Turkey,Turkish Airlines,Istanbul,2023-11-06 20:01:36,
arrival,BT347,BTI9JT,Airbus A220-300,Latvia,Air Baltic,Riga,2023-11-06 20:40:00,
arrival,AY1107,FIN8RD,ATR 72-500,Finland,Finnair,Helsinki,2023-11-06 20:50:00,
arrival,W2306,,Airbus A320-232,Malta,Avion Express,Funchal,2023-11-06 20:50:00,
arrival,FR3466,RYR1QY,Boeing 737 MAX 8-200,Ireland,Ryanair,London,2023-11-06 21:00:00,
arrival,FR7139,RYR7139,Boeing 737-8AS,Ireland,Ryanair,Dublin,2023-11-06 21:00:00,
departure,TK1410,THY1SR,Boeing 737 MAX 9,Turkey,Turkish Airlines,,2023-11-06 21:00:00,Istanbul
departure,FR3467,RYR61WD,Boeing 737 MAX 8-200,Ireland,Ryanair,,2023-11-06 21:25:00,London
departure,AY1108,FIN1108,ATR 72-500,Finland,Finnair,,2023-11-06 21:25:00,Helsinki
departure,BT348,BTI37D,Airbus A220-300,Latvia,Air Baltic,,2023-11-06 21:30:00,Riga
arrival,SK1740,SAS1740,Mitsubishi CRJ-900LR,Estonia,SAS,Stockholm,2023-11-06 21:30:00,
departure,FR7140,RYR4VW,Boeing 737-8AS,Ireland,Ryanair,,2023-11-06 21:35:00,Dublin
arrival,BT966,BTI3PR,Airbus A220-300,Latvia,Air Baltic,Paris,2023-11-06 21:45:00,
arrival,BT926,BTI7RB,Airbus A220-300,Latvia,Air Baltic,Munich,2023-11-06 22:00:00,
departure,,BCS71R,Boeing 737-46J(SF),Bulgaria,Cargo Air,,2023-11-06 22:25:00,Leipzig
arrival,,GJT7MN,Boeing 737-8FE,Lithuania,Getjet Airlines,Antalya,2023-11-06 22:35:00,
arrival,X98530,NVD8530,Airbus A320-232,Malta,Avion Express,Antalya,2023-11-06 23:05:00,
arrival,,GJT3DS,Boeing 737-83N,Lithuania,Getjet Airlines,Antalya,2023-11-06 23:09:00,
arrival,W68044,WZZ6117,Airbus A320-232,Malta,Wizz Air,Larnaca,2023-11-06 23:10:00,
arrival,LO274,LOT274,Embraer E190STD,Poland,LOT,London,2023-11-06 23:15:00,
