final_time,count
2023-11-07 23:30:00,1
2023-11-07 23:45:00,1
2023-11-08 00:00:00,1
2023-11-08 01:00:00,1
2023-11-08 02:00:00,1
2023-11-08 02:30:00,1
2023-11-08 02:45:00,1
2023-11-08 04:00:00,1
2023-11-08 04:15:00,2
2023-11-08 05:15:00,2
2023-11-08 05:45:00,3
2023-11-08 06:15:00,4
2023-11-08 06:30:00,1
2023-11-08 06:45:00,2
2023-11-08 07:00:00,1
2023-11-08 07:15:00,1
2023-11-08 07:30:00,1
2023-11-08 08:00:00,1
2023-11-08 08:15:00,2
2023-11-08 09:00:00,3
2023-11-08 09:15:00,1
2023-11-08 09:30:00,1
2023-11-08 10:00:00,2
2023-11-08 10:15:00,2
2023-11-08 10:30:00,1
2023-11-08 11:00:00,1
2023-11-08 11:15:00,1
2023-11-08 12:00:00,1
2023-11-08 12:45:00,3
2023-11-08 13:00:00,1
2023-11-08 13:15:00,2
2023-11-08 13:30:00,4
2023-11-08 13:45:00,1
2023-11-08 14:00:00,2
2023-11-08 14:30:00,2
2023-11-08 14:45:00,3
2023-11-08 15:00:00,1
2023-11-08 15:15:00,4
2023-11-08 15:30:00,1
2023-11-08 15:45:00,1
2023-11-08 16:00:00,2
2023-11-08 16:15:00,2
2023-11-08 17:00:00,4
2023-11-08 17:15:00,1
2023-11-08 17:30:00,2
2023-11-08 18:15:00,2
2023-11-08 18:30:00,1
2023-11-08 18:45:00,1
2023-11-08 19:00:00,2
2023-11-08 19:15:00,1
2023-11-08 19:30:00,1
2023-11-08 19:45:00,1
2023-11-08 20:00:00,1
2023-11-08 20:15:00,1
2023-11-08 20:45:00,2
2023-11-08 21:15:00,2
2023-11-08 21:30:00,1
2023-11-08 21:45:00,1
2023-11-08 22:00:00,1
2023-11-08 23:00:00,3
2023-11-08 23:30:00,1
2023-11-08 23:45:00,1
2023-11-09 00:00:00,3
2023-11-09 01:00:00,1
2023-11-09 01:15:00,2
2023-11-09 01:30:00,1
2023-11-09 01:45:00,1
2023-11-09 05:30:00,1
2023-11-09 05:45:00,1
2023-11-09 06:00:00,3
2023-11-09 06:15:00,3
2023-11-09 06:30:00,1
2023-11-09 06:45:00,2
2023-11-09 07:00:00,1
2023-11-09 07:30:00,1
2023-11-09 07:45:00,1
2023-11-09 08:15:00,2
2023-11-09 08:45:00,1
2023-11-09 09:00:00,1
2023-11-09 09:15:00,1
2023-11-09 09:30:00,1
2023-11-09 09:45:00,1
2023-11-09 10:00:00,1
2023-11-09 10:30:00,2
2023-11-09 11:00:00,1
2023-11-09 11:15:00,2
