flight.identification.id,flight.identification.row,flight.identification.number.default,flight.identification.number.alternative,flight.identification.callsign,flight.identification.codeshare,flight.status.live,flight.status.text,flight.status.icon,flight.status.estimated,flight.status.ambiguous,flight.status.generic.status.text,flight.status.generic.status.type,flight.status.generic.status.color,flight.status.generic.status.diverted,flight.status.generic.eventTime.utc,flight.status.generic.eventTime.local,flight.aircraft.model.code,flight.aircraft.model.text,flight.aircraft.registration,flight.aircraft.country.id,flight.aircraft.country.name,flight.aircraft.country.alpha2,flight.aircraft.country.alpha3,flight.aircraft.hex,flight.aircraft.restricted,flight.aircraft.serialNo,flight.aircraft.age.availability,flight.aircraft.availability.serialNo,flight.aircraft.availability.age,flight.owner.name,flight.owner.code.iata,flight.owner.code.icao,flight.owner.logo,flight.airline.name,flight.airline.code.iata,flight.airline.code.icao,flight.airline.short,flight.airport.origin.timezone.name,flight.airport.origin.timezone.offset,flight.airport.origin.timezone.abbr,flight.airport.origin.timezone.abbrName,flight.airport.origin.timezone.isDst,flight.airport.origin.info.terminal,flight.airport.origin.info.baggage,flight.airport.origin.info.gate,flight.airport.destination.code.iata,flight.airport.destination.code.icao,flight.airport.destination.timezone.name,flight.airport.destination.timezone.offset,flight.airport.destination.timezone.abbr,flight.airport.destination.timezone.abbrName,flight.airport.destination.timezone.isDst,flight.airport.destination.info.terminal,flight.airport.destination.info.baggage,flight.airport.destination.info.gate,flight.airport.destination.name,flight.airport.destination.position.latitude,flight.airport.destination.position.longitude,flight.airport.destination.position.country.name,flight.airport.destination.position.country.code,flight.airport.destination.position.country.id,flight.airport.destination.position.region.city,flight.airport.destination.visible,flight.airport.real,flight.time.scheduled.departure,flight.time.scheduled.arrival,flight.time.real.departure,flight.time.real.arrival,flight.time.estimated.departure,flight.time.estimated.arrival,flight.time.other.eta,flight.time.other.duration,flight.aircraft.images,flight.owner,flight.airline
,5435514477,,,GJT25H,,False,Estimated dep 05:35,green,,False,estimated,departure,green,,1699241700.0,1699248900.0,B738,Boeing 737-8FE,LY-DUE,127.0,Lithuania,LT,LTU,503D3E,False,,True,True,True,Getjet Airlines,GW,GJT,s3:GW_GJT.png,GetJet Airlines,GW,GJT,Getjet Airlines,Europe/Vilnius,7200,EET,Eastern European Time,False,,,,AYT,LTAI,Europe/Istanbul,10800,+03,,False,,,,Antalya Airport,36.898731,30.800461,Turkey,TR,228,Antalya,True,,1699241100,1699252260,,,1699241700.0,,,,,,
,5432554632,BT350,,BTI35G,['AF7989'],False,Estimated dep 05:40,green,,False,estimated,departure,green,,1699242000.0,1699249200.0,BCS3,Airbus A220-300,YL-ABG,121.0,Latvia,LV,LVA,502D58,False,,True,True,True,Air Baltic,BT,BTI,s3:BT_BTI.png,Air Baltic,BT,BTI,Air Baltic,Europe/Vilnius,7200,EET,Eastern European Time,False,,,A5,RIX,EVRA,Europe/Riga,7200,EET,Eastern European Time,False,,,,Riga International Airport,56.923611,23.971109,Latvia,LV,121,Riga,True,,1699241400,1699244400,,,1699242000.0,,,,,,
,5435355475,,,GJT54E,,False,Estimated dep 05:40,green,,False,estimated,departure,green,,1699242000.0,1699249200.0,B738,Boeing 737-83N,LY-KUA,127.0,Lithuania,LT,LTU,503E98,False,,True,True,True,Getjet Airlines,GW,GJT,s3:GW_GJT.png,GetJet Airlines,GW,GJT,Getjet Airlines,Europe/Vilnius,7200,EET,Eastern European Time,False,,,,AYT,LTAI,Europe/Istanbul,10800,+03,,False,,,,Antalya Airport,36.898731,30.800461,Turkey,TR,228,Antalya,True,,1699241400,1699252980,,,1699242000.0,,,,,,
,5432595970,FR7204,RR7204,RYR8YH,,False,Estimated dep 05:45,green,,False,estimated,departure,green,,1699242300.0,1699249500.0,B738,Boeing 737-8AS,SP-RKM,176.0,Poland,PL,POL,48C12C,False,,True,True,True,Buzz,RR,RYS,s3:RR_RYS.png,Ryanair,FR,RYR,Ryanair,Europe/Vilnius,7200,EET,Eastern European Time,False,,,A17,MLA,LMML,Europe/Malta,3600,CET,Central European Time,False,,,,Malta Luqa International Airport,35.857491,14.4775,Malta,MT,136,Malta,True,,1699242300,1699254900,,,1699242300.0,,,,,,
,5432714815,X98523,4X8523,NVD8523,,False,Estimated dep 05:55,green,,False,estimated,departure,green,,1699242900.0,1699250100.0,A320,Airbus A320-232,9H-MLY,136.0,Malta,MT,MLT,4D2476,False,,True,True,True,Avion Express Malta,4X,MLH,,Avion Express,X9,NVD,Avion Express,Europe/Vilnius,7200,EET,Eastern European Time,False,,,,AYT,LTAI,Europe/Istanbul,10800,+03,,False,2,,,Antalya Airport,36.898731,30.800461,Turkey,TR,228,Antalya,True,,1699242300,1699254600,,,1699242900.0,,,,,,
,5432593622,FR542,RR542,RYR50UG,,False,Estimated dep 05:50,green,,False,estimated,departure,green,,1699242600.0,1699249800.0,B738,Boeing 737-8AS,SP-RKU,176.0,Poland,PL,POL,48C133,False,,True,True,True,Buzz,RR,RYS,s3:RR_RYS.png,Ryanair,FR,RYR,Ryanair,Europe/Vilnius,7200,EET,Eastern European Time,False,,,B10,STN,EGSS,Europe/London,0,GMT,Greenwich Mean Time,False,1,,,London Stansted Airport,51.884998,0.235,United Kingdom,GB,235,London,True,,1699242600,1699253100,,,1699242600.0,,,,,,
,5432713614,W68063,W48063,WZZ799,,False,Estimated dep 06:00,green,,False,estimated,departure,green,,1699243200.0,1699250400.0,A320,Airbus A320-232,9H-WZT,136.0,Malta,MT,MLT,4D24C5,False,,True,True,True,Wizz Air Malta,W4,WMT,s3:_WMT.png,Wizz Air,W6,WZZ,Wizz Air,Europe/Vilnius,7200,EET,Eastern European Time,False,,,A6,BCN,LEBL,Europe/Madrid,3600,CET,Central European Time,False,2,21,,Barcelona El Prat Airport,41.29707,2.078463,Spain,ES,209,Barcelona,True,,1699243200,1699256100,,,1699243200.0,,,,,,
,5432713609,W68001,W48001,WZZ2475,,False,Estimated dep 06:10,green,,False,estimated,departure,green,,1699243800.0,1699251000.0,A320,Airbus A320-232,9H-WZU,136.0,Malta,MT,MLT,4D24C3,False,,True,True,True,Wizz Air Malta,W4,WMT,s3:_WMT.png,Wizz Air,W6,WZZ,Wizz Air,Europe/Vilnius,7200,EET,Eastern European Time,False,,,B14,LTN,EGGW,Europe/London,0,GMT,Greenwich Mean Time,False,,,,London Luton Airport,51.874722,-0.36833,United Kingdom,GB,235,London,True,,1699243800,1699254600,,,1699243800.0,,,,,,
,5432637515,LO774,,LOT774,,False,Estimated dep 06:20,green,,False,estimated,departure,green,,1699244400.0,1699251600.0,B38M,Boeing 737 MAX 8,SP-LVL,176.0,Poland,PL,POL,48AF0B,False,,True,True,True,LOT,LO,LOT,s3:LO_LOT.png,LOT (Energylandia Livery),LO,LOT,LOT,Europe/Vilnius,7200,EET,Eastern European Time,False,,,A16,WAW,EPWA,Europe/Warsaw,3600,CET,Central European Time,False,,5,,Warsaw Chopin Airport,52.165749,20.967119,Poland,PL,176,Warsaw,True,,1699244400,1699248300,,,1699244400.0,,,,,,
,5432669320,SK743,EE743,SAS743,"['LG1846', 'OU5699', 'SQ2743']",False,Estimated dep 06:25,green,,False,estimated,departure,green,,1699244700.0,1699251900.0,CRJ9,Mitsubishi CRJ-900ER,ES-ACB,70.0,Estonia,EE,EST,511064,False,,True,True,True,Xfly,EE,EST,s3:EE_EST.png,SAS,SK,SAS,SAS,Europe/Vilnius,7200,EET,Eastern European Time,False,,,A5,CPH,EKCH,Europe/Copenhagen,3600,CET,Central European Time,False,3,,B3A,Copenhagen Airport,55.616959,12.645637,Denmark,DK,61,Copenhagen,True,,1699244700,1699250400,,,1699244700.0,,,,,,
